Rank,Fast_Food_Chains,Sales(Millions),Avg_Sales_Per_Unit(Thousands),Franchised_Stores,Company_Stores,Total_Units_2024,Unit_Change_from_2024
1,Mcdonald's,53135,4001,12772,685,13457,13
26,Culver's,3000,3487,937,7,944,52
2,Starbucks,28700,1820,6701,9645,16346,473
27,Five Guys,2626,11811,890,594,1484,67
3,Chick-fil-a,21586,7450,2494,58,2552,141
28,Jimmy John's,2551,936,2604,40,2644,7
4,Taco Bell,15000,2100,6922,483,7405,207
29,Zax By's,2520,2720,797,145,942,20
5,Wendy's,12285,2060,5627,403,6030,36
30,Hardee's,1981,1160,1512,195,1707,-45
6,Dunkin',11918,1300,9548,32,9580,210
31,Bojangles,1781,2269,528,285,813,25
7,Burger King,10957,1642,6640,138,6778,-264
32,Carl's Jr,1546,1450,1018,48,1066,-2
8,Subway,9925,493,20133,0,20133,-443
33,Dutch Bros,1444,1973,289,542,831,160
34,Tropical Smoothie Cafe,1253,980,1371,1,1372,174
9,Chipotle,9872,3018,0,3437,3437,271
19,Domino's,9026,1317,6566,288,6854,168
35,In-n-out Burger,1246,3130,0,398,398,19
11,Panera Bread,7157,3300,1193,976,2169,48
36,Shake Shack,1199,3900,39,295,334,47
12,Panda Express,5885,2551,172,2248,2420,62
37,Qdoba,1154,1540,587,164,751,21
38,Firehouse Subs,1138,963,1170,39,1209,22
13,Pizza Hut,5600,1015,6586,7,6593,32
39,El Pollo Loco,1050,2200,172,323,495,5
14,Sonic Drive-in,5534,1600,3195,326,3521,-25
40,Marco's Pizza,1041,943,1101,43,1144,77
15,Popeyes Louisiana Kitchen,5511,1897,3035,41,3076,130
41,Mcalister's Deli,1022,1968,506,33,539,14
18,Kfc,5200,1386,3745,46,3791,-127
43,Freddy's Frozen Custard & Steak Burgers,925,1898,482,33,515,59
17,Dairy Queen,4968,1168,4252,2,4254,-53
18,Arby's,4617,1400,2316,1097,3413,-2
44,Checkers/rally's,883,1100,546,238,784,-27
19,Jack In The Box,4355,2032,2043,142,2185,5
45,Church's Chicken,803,1009,633,156,789,-23
20,Papa Johns,3846,1231,2689,531,3220,40
46,Auntie Anne's,762,769,1187,11,1198,19
21,Whataburger,3769,3962,171,826,997,72
47,Papa Murphy's,758,667,1119,8,1127,-41
48,Tim Hortons,751,1264,642,0,642,6
23,Wingstop,3482,1827,1877,49,1926,205
49,Moe's,731,1226,606,6,612,-25
24,Little Caesars,3365,998,3642,575,4217,44
25,Jersey Mike's,3342,1300,2665,19,2684,287
50,Smoothie King,722,661,1093,59,1152,49
